"Final","ExamAve"
53,59.83333333
75,85
85,89
96,94.66666667
74,87.66666667
96,99.33333333
87,86
85,87
88,92.5
88,91
84,90
89,99.33333333
80,91.83333333
78,86.33333333
89,99
79,83.33333333
72,85
88,89.33333333
98,99.66666667
92,97.33333333
90,90.66666667
81,91.66666667
78,87.5
78,83.5
60,74.66666667
87,96
79,88.16666667
60,86.66666667
85,93.33333333
91,94.83333333
93,96.66666667
83,94.33333333
94,96.66666667
75,84
88,93.16666667
91,86
78,83.33333333
54,75.08333333
81,83
73,82.66666667
92,98.66666667
67,75
94,94
91,100.5
85,91.83333333
89,98.33333333
78,90.16666667
91,95
92,98.33333333
80,85.16666667
90,96.66666667
70,84.16666667
87,92.83333333
90,93.16666667
74,83.66666667
94,94
98,98
83,77.16666667
92,99.66666667
93,91.58333333
93,93.33333333
72,82.33333333
81,90
80,82.66666667
91,98.16666667
83,91
92,92.66666667
91,99.33333333
81,95.16666667
101,96.16666667
65,80
78,92.66666667
80,94
79,89.66666667
74,81.33333333
93,92.83333333
46,66.16666667
75,96.5
92,93.5
89,90.16666667
60,85.83333333
90,95.16666667
94,94.16666667
89,92.75
67,82
90,81
81,95.66666667
84,88
90,96
79,99
91,89
74,80
84,99
89,93
80,89.33333333
96,99
50,62.66666667
44,53.66666667
96,99.33333333
73,86.33333333
83,82.66666667
64,76.83333333
54,72.5
88,94.5
86,81
74,93.83333333
81,92.08333333
97,99.5
76,88.66666667
99,99.33333333
97,97.5
100,100.1666667
72,88.33333333
91,91.5
53,75.91666667
92,99.33333333
79,88.66666667
86,94.83333333
86,92.66666667
58,83.5
74,82.66666667
87,94.5
75,97.33333333
63,82.66666667
72,80.33333333
86,95.33333333
85,89.16666667
80,77.16666667
87,93
92,95
77,89.58333333
82,85.33333333
83,86
54,64
95,90.33333333
90,95.66666667
68,61.16666667
82,92
84,89
93,99.33333333
90,90.66666667
74,89.83333333
77,79
102,101
98,100.3333333
97,100.3333333
94,96
83,94
89,97.66666667
72,78
90,96.5
90,95.33333333
81,95
91,96.33333333
96,92.66666667
87,88.5
91,98
79,91.16666667
74,84.83333333
71,77.33333333
98,96.66666667
62,73.33333333
90,95.66666667
92,93
80,89
94,93.66666667
93,98.33333333
76,93
69,77.33333333
99,97
85,89.5
89,99
88,90.66666667
86,95.5
89,85
76,85.66666667
91,97.66666667
89,98
84,85.16666667
87,99
74,81.66666667
45,71.5
87,94.33333333
55,54.58333333
62,90
56,72.66666667
88,95
90,91
70,84.16666667
70,78
88,99
77,84.16666667
85,95.66666667
98,97.33333333
85,91.5
90,100.5
75,68.66666667
95,101
96,96.66666667
87,84.66666667
83,82.83333333
72,80.16666667
57,78.33333333
85,91
81,86.16666667
81,94.66666667
68,84.66666667
94,98.66666667
92,91.66666667
83,94.83333333
89,94.33333333
88,96.5
82,93.66666667
92,92.83333333
89,99.66666667
84,93.33333333
97,98.33333333
89,94.33333333
89,94.66666667
81,86.5
85,93
85,91.5
92,95.08333333
91,79.33333333
92,95
97,100.6666667
87,86.83333333
41,65.33333333
80,90.16666667
91,91.83333333
87,91.66666667
80,86.83333333
82,93.16666667
71,87
96,99.33333333
79,68.33333333
98,96.5
81,89
80,88.83333333
44,79.83333333
99,99.33333333
98,97.66666667
95,96.66666667
76,92.33333333
78,89.66666667
86,90.83333333
91,95.83333333
96,96.33333333
94,96.66666667
65,80.33333333
61,83.16666667
62,87
83,83.33333333
88,97.33333333
71,73.33333333
90,90.66666667
57,52.83333333
83,87.5
81,90.16666667
92,98.83333333
88,97
72,94.33333333
90,86
83,96
99,99.66666667
38,54.5
96,95.5
95,98
92,99
85,87
90,87.16666667
97,99
79,93.66666667
70,80.33333333
63,64.5
92,98.66666667
83,88.66666667
85,95.83333333
86,86.33333333
97,97.33333333
61,67.33333333
92,93.83333333
82,92.5
68,86.33333333
86,97.66666667
91,97
90,94.33333333
75,92.16666667
74,90.5
72,84.33333333
88,91.83333333
92,96.66666667
85,92.66666667
67,81.66666667
87,91.66666667
92,95.33333333
93,94.33333333
91,93.66666667
60,71
83,97.66666667
92,93.16666667
88,90.33333333
86,89.5
95,94
84,97.66666667
57,66.33333333
73,88
89,95.66666667
88,96.66666667
85,95
85,92.66666667
64,63.25
100,97
80,96.83333333
87,93.33333333
76,88
91,91
81,87
53,71.41666667
77,94.66666667
92,95
89,90.83333333
95,97.66666667
89,96.33333333
87,89.5
87,89.91666667
87,88.33333333
84,94
78,93.16666667
90,83.75
83,76.33333333
69,85
100,100.3333333
88,93
89,96.33333333
90,98
81,98
79,99
91,95
77,88.41666667
99,99.66666667
97,96.66666667
92,98
81,76.16666667
98,96.33333333
96,96.5
84,94
92,97.33333333
61,64.33333333
60,72
89,83.75
92,94.33333333
93,97.66666667
90,92.33333333
70,84.08333333
81,86.5
73,77.83333333
95,92.66666667
96,90.66666667
81,85.16666667
77,67.16666667
50,73.33333333
93,90.16666667
79,85
87,93
74,83.08333333
80,88.33333333
90,92
92,97.33333333
84,93.66666667
89,97
88,97
91,90.83333333
91,94.66666667
80,67.66666667
85,95.58333333
86,93.08333333
89,86.66666667
92,91.33333333
85,94
83,94.5
80,85.33333333
84,88.83333333
80,88.5
64,93.83333333
58,69.33333333
84,93
94,95
29,36
53,68
84,94.33333333
71,86.33333333
100,100
92,99.33333333
94,96.33333333
98,98.33333333
87,94.33333333
92,97
84,84.5
90,93.66666667
88,92
90,93
89,96.16666667
54,65.08333333
88,98.5
81,92.66666667
92,98.5
83,94
82,90.83333333
97,95
88,98.33333333
64,81.33333333
59,81.5
72,87.33333333
83,97.33333333
67,70.83333333
65,75.83333333
96,94.5
78,87.16666667
88,96.66666667
74,86.33333333
58,90
90,95.5
92,100
97,92.83333333
86,92.16666667
90,94.66666667
82,96.33333333
98,95.66666667
85,87.83333333
63,80
74,67.16666667
56,63.66666667
53,54
67,77.83333333
96,89.5
74,92.66666667
80,69.33333333
94,97
88,97.33333333
98,98.66666667
90,88.5
87,96.5
92,91.66666667
80,92.41666667
86,86.5
89,95.83333333
80,83
88,91.66666667
97,95.66666667
80,92
99,101
97,98.83333333
99,100.3333333
85,93.5
96,97.66666667
93,97.66666667
72,76
59,68.41666667
93,98.66666667
89,92.83333333
92,96.66666667
100,98.5
101,98.66666667
97,98.33333333
94,98.66666667
94,98
91,98.66666667
91,96
90,97.16666667
79,97.66666667
89,86.66666667
94,85.16666667
88,81.5
93,71
55,78.16666667
59,74.83333333
89,98
90,90.66666667
77,88.75
99,99.66666667
92,96.33333333
90,98.66666667
98,96
89,95.33333333
96,98.33333333
88,100.3333333
86,95.33333333
71,84.33333333
94,99.5
85,92.66666667
89,94
87,94.33333333
75,90.33333333
72,87.16666667
74,83.66666667
81,94
59,67.66666667
95,94.33333333
72,84.33333333
87,96.66666667
92,92.16666667
84,88.66666667
85,86.66666667
96,98.33333333
94,93.83333333
74,89.66666667
95,94.66666667
84,95.33333333
93,96.66666667
97,99.33333333
90,89.16666667
96,94.33333333
81,84.83333333
82,93.66666667
98,98.66666667
83,89.5
100,98.66666667
98,96.33333333
95,96.33333333
83,97
93,96
91,97.33333333
78,95
87,93.83333333
77,88
72,90
65,72.5
63,80
90,81.83333333
86,89.33333333
86,82.33333333
96,95.66666667
72,81.66666667
88,94
83,96.66666667
56,70.66666667
95,97.33333333
89,96.66666667
88,95.66666667
74,93.33333333
82,97.33333333
62,78
92,95
87,89
80,97
92,98.33333333
81,95.66666667
56,68.5
90,93.5
79,88
87,98.66666667
89,93.66666667
90,92.83333333
92,97.33333333
80,83.33333333
99,100
69,80.5
85,88.66666667
72,86.83333333
98,95.66666667
91,96.16666667
91,95.5
63,81.66666667
90,92
89,91.5
89,94.33333333
96,98.33333333
95,100
91,98
94,97.66666667
83,91
52,55
75,81.66666667
87,85.33333333
90,96
100,100.6666667
89,95.33333333
87,98.83333333
85,89.16666667
70,75.5
55,72.33333333
91,96.33333333
82,92
77,86.16666667
86,95.16666667
85,92
81,93.33333333
88,92.5
83,94.16666667
87,85.83333333
63,77.25
63,78.83333333
67,68.66666667
58,66.33333333
64,81.16666667
55,78.33333333
81,98
79,86.83333333
78,83.66666667
68,75.16666667
98,101
92,94.16666667
65,83
90,95.33333333
77,84
85,95.33333333
83,87.83333333
69,64.16666667
69,76.66666667
73,87
97,99
99,100.3333333
73,84.83333333
87,88
81,100
68,83.5
91,100.3333333
89,88.16666667
86,92
87,94.66666667
85,94.33333333
80,81.33333333
90,95.66666667
88,93.33333333
85,86.66666667
61,64.41666667
99,98.66666667
92,97
95,95
83,91.66666667
86,89.5
82,90.33333333
95,96
87,94.66666667
87,87.5
68,74.33333333
82,85.66666667
96,97
96,95.66666667
88,95.25
96,100
88,95.83333333
86,97
96,97
99,98
74,87.5
96,99.66666667
96,98
89,98.66666667
88,98.33333333
78,93.66666667
95,97.66666667
84,90.5
84,84
83,96
81,89.33333333
79,98
101,92
87,86.66666667
79,92.16666667
98,96.33333333
87,92.66666667
57,67.16666667
79,94.33333333
91,98.33333333
82,96.66666667
97,98
86,96.33333333
92,93.66666667
91,98
89,97.33333333
80,93.33333333
86,97.33333333
91,96.33333333
86,94.66666667
93,95.33333333
74,82.66666667
97,93.5
95,98
93,96.16666667
97,98.33333333
74,86.33333333
93,94.83333333
89,93.5
86,94.33333333
95,95.33333333
85,86.5
80,86
78,85.66666667
95,92.16666667
90,91.33333333
92,91.66666667
85,95.66666667
75,91
94,92.75
89,94
90,100.6666667
76,86.83333333
84,82.33333333
93,88.66666667
85,90
90,95.33333333
85,88.66666667
97,92.33333333
74,94
91,94.16666667
94,95
92,99
91,98.83333333
86,85.83333333
91,95.33333333
93,94.33333333
85,95
93,92.66666667
64,72
75,88.33333333
94,92.33333333
88,95
40,57.75
84,90.83333333
78,82.16666667
94,100
89,98.25
94,92.33333333
89,92.66666667
97,93.33333333
88,96.66666667
94,94.5
77,93
82,91.66666667
88,95
83,91.16666667
92,91.83333333
100,99.66666667
96,97.66666667
86,97.33333333
95,92.66666667
87,94.16666667
90,92.66666667
87,94.66666667
95,99
84,92
93,88
84,89
81,93.83333333
78,91
100,99
90,90.66666667
94,93.58333333
93,99
88,95.5
69,89.83333333
73,81.66666667
61,72.66666667
93,99.66666667
78,93.83333333
71,80.5
94,96.33333333
83,94
86,92
97,95.66666667
96,97.33333333
83,87.66666667
87,94.66666667
94,99.66666667
75,86.83333333
96,93.66666667
80,86
94,95.66666667
77,76.66666667
97,95
92,98.66666667
60,76.83333333
89,92.66666667
91,97
58,83
94,92.83333333
90,94.66666667
86,95.66666667
90,88.16666667
91,97.66666667
73,87.66666667
93,89.66666667
67,91.33333333
74,84.33333333
86,95
88,87.66666667
87,98.5
86,95.66666667
89,96
49,76
85,95.33333333
84,94.66666667
85,100
93,99.33333333
88,95.83333333
89,91.66666667
97,94.33333333
70,85.83333333
81,92.16666667
80,97
53,68.83333333
89,97.33333333
69,83
89,97
94,99
93,95
73,89.33333333
54,73.83333333
65,86.16666667
72,84.66666667
82,91.5
92,92.66666667
94,96.83333333
88,92.33333333
90,90.33333333
91,82
79,72.5
60,64.83333333
92,90
91,92
79,90
82,86.33333333
61,76.5
90,89
86,82.16666667
91,90.66666667
90,97.83333333
89,94.33333333
71,82.66666667
78,86.75
97,97.33333333
91,91.66666667
91,94
66,75.16666667
95,97.66666667
95,98.83333333
99,100.3333333
71,70.16666667
56,81.5
90,91.83333333
77,91.66666667
79,89.33333333
80,91
91,98
65,80.83333333
68,78.66666667
66,82.5
93,97
76,81.33333333
92,93.33333333
90,96.33333333
83,93.5
95,93.5
86,97.33333333
93,98.66666667
88,89
57,72
85,88
90,92.83333333
84,91.66666667
69,78
93,92.33333333
91,96.16666667
84,93.5
70,84.16666667
91,96.16666667
91,99.33333333
66,78.83333333
47,52.16666667
77,91.16666667
83,89.5
59,72.16666667
81,81.33333333
97,100
83,93.5
93,95.5
91,89.66666667
72,92.83333333
71,87.33333333
93,91.33333333
85,83.66666667
102,100.6666667
82,91.66666667
78,88.66666667
83,85.16666667
90,95
90,95.66666667
49,73.5
97,99.33333333
74,74.33333333
63,70
96,89.16666667
80,79.66666667
87,97.16666667
68,89
87,85.16666667
102,101.3333333
77,93.33333333
73,78.5
90,90.5
85,92.33333333
94,98
94,96.33333333
66,74
87,91.83333333
94,92.66666667
90,98
82,84.5
85,95.16666667
69,85
90,93
96,100
85,89.33333333
85,85.16666667
93,99
63,84.66666667
85,94.66666667
102,98.66666667
91,95
92,91.33333333
76,89.16666667
78,89.66666667
84,96.33333333
55,67.83333333
70,88.33333333
90,95.66666667
87,95.33333333
84,94.16666667
91,97.16666667
95,91.66666667
69,97.33333333
74,87.83333333
92,92.66666667
46,54.66666667
74,86
74,70.83333333
84,83.5
80,90.66666667
86,93.5
63,78
94,95.66666667
85,93
90,93.33333333
61,53
69,78
74,79.5
48,79.83333333
83,92
89,95.83333333
100,100.6666667
92,91.33333333
89,96.66666667
100,99
94,93
65,84.33333333
74,85.16666667
72,90.33333333
93,94.66666667
79,88.83333333
77,79.66666667
87,90.33333333
85,88.66666667
86,90.66666667
66,82
93,84.83333333
82,89.16666667
82,90
96,97
81,80.5
74,79.5
72,85
80,89
90,94
70,89.16666667
85,93.5
80,76.66666667
93,97
91,94.66666667
58,90.83333333
91,94.66666667
83,91.83333333
75,88.08333333
98,100
87,93.33333333
85,88.5
94,100.3333333
91,99.33333333
96,94.33333333
89,92.83333333
80,90.5
93,96.66666667
60,64.33333333
86,97.66666667
67,94.66666667
97,96
42,71.66666667
81,89.66666667
91,95.33333333
89,92.5
60,75.33333333
87,93
76,78.16666667
92,95.66666667
95,95.66666667
87,96.66666667
85,93.33333333
90,96.66666667
85,92.33333333
93,94.66666667
87,84
81,84.5
78,81.33333333
60,86.33333333
57,88.66666667
61,75.66666667
93,99.33333333
60,88.83333333
71,87.66666667
76,80.66666667
97,97.66666667
98,92.66666667
100,99.16666667
85,82
86,89.66666667
94,96.16666667
100,100.6666667
85,95
70,90.33333333
79,84.5
87,96.33333333
82,92.66666667
69,80.66666667
80,85.5
84,89.66666667
97,101
89,89
84,96.33333333
89,90.33333333
100,99.33333333
77,82.33333333
83,86
87,96.16666667
94,97
94,96.66666667
85,95.66666667
95,92.66666667
92,93.5
89,96
93,98.66666667
61,79
90,93.33333333
86,90.5
83,92.66666667
76,88
87,94.33333333
96,96.33333333
93,100.3333333
98,99.83333333
74,85.66666667
